effectiveDate,mid
2015-01-02,0.1554
2015-01-05,0.1553
2015-01-07,0.1559
2015-01-08,0.154
2015-01-09,0.1531
2015-01-12,0.1505
2015-01-13,0.1507
2015-01-14,0.152
2015-01-15,0.1531
2015-01-16,0.1556
2015-01-19,0.1549
2015-01-20,0.1557
2015-01-21,0.1551
2015-01-22,0.1539
2015-01-23,0.1522
2015-01-26,0.1524
2015-01-27,0.1523
2015-01-28,0.1521
2015-01-29,0.1524
2015-01-30,0.1513
2015-02-02,0.1505
2015-02-03,0.1505
2015-02-04,0.1502
2015-02-05,0.1505
2015-02-06,0.1504
2015-02-09,0.1508
2015-02-10,0.1515
2015-02-11,0.1517
2015-02-12,0.1513
2015-02-13,0.151
2015-02-16,0.1513
2015-02-17,0.1514
2015-02-18,0.1518
2015-02-19,0.1524
2015-02-20,0.1523
2015-02-23,0.1516
2015-02-24,0.1524
2015-02-25,0.152
2015-02-26,0.1515
2015-02-27,0.1508
2015-03-02,0.151
2015-03-03,0.1514
2015-03-04,0.1521
2015-03-05,0.151
2015-03-06,0.1513
2015-03-09,0.1513
2015-03-10,0.1513
2015-03-11,0.1518
2015-03-12,0.1513
2015-03-13,0.1521
2015-03-16,0.1516
2015-03-17,0.1518
2015-03-18,0.1522
2015-03-19,0.1503
2015-03-20,0.1503
2015-03-23,0.1504
2015-03-24,0.1499
2015-03-25,0.1493
2015-03-26,0.149
2015-03-27,0.1489
2015-03-30,0.149
2015-03-31,0.1486
2015-04-01,0.1477
2015-04-02,0.1475
2015-04-03,0.1479
2015-04-07,0.148
2015-04-08,0.1475
2015-04-09,0.1471
2015-04-10,0.1467
2015-04-13,0.1466
2015-04-14,0.1468
2015-04-15,0.1465
2015-04-16,0.146
2015-04-17,0.1467
2015-04-20,0.1463
2015-04-21,0.1451
2015-04-22,0.1458
2015-04-23,0.1463
2015-04-24,0.1463
2015-04-27,0.1465
2015-04-28,0.1457
2015-04-29,0.1461
2015-04-30,0.1471
2015-05-04,0.1476
2015-05-05,0.147
2015-05-06,0.1479
2015-05-07,0.1484
2015-05-08,0.1478
2015-05-11,0.1486
2015-05-12,0.1496
2015-05-13,0.1488
2015-05-14,0.1492
2015-05-15,0.1483
2015-05-18,0.1479
2015-05-19,0.1479
2015-05-20,0.1484
2015-05-21,0.1495
2015-05-22,0.1497
2015-05-25,0.1503
2015-05-26,0.1507
2015-05-27,0.1509
2015-05-28,0.1509
2015-05-29,0.1506
2015-06-01,0.1505
2015-06-01,0.1505
2015-06-02,0.1509
2015-06-03,0.1503
2015-06-05,0.1518
2015-06-08,0.1515
2015-06-09,0.1524
2015-06-10,0.1522
2015-06-11,0.1522
2015-06-12,0.1517
2015-06-15,0.1519
2015-06-16,0.1524
2015-06-17,0.1522
2015-06-18,0.1527
2015-06-19,0.1533
2015-06-22,0.1534
2015-06-23,0.1532
2015-06-24,0.1531
2015-06-25,0.153
2015-06-26,0.1536
2015-06-29,0.1539
2015-06-30,0.1538
2015-07-01,0.1539
2015-07-02,0.1539
2015-07-03,0.154
2015-07-06,0.1548
2015-07-07,0.155
2015-07-08,0.1556
2015-07-09,0.1558
2015-07-10,0.1544
2015-07-13,0.1532
2015-07-14,0.1534
2015-07-15,0.1526
2015-07-16,0.1517
2015-07-17,0.1516
2015-07-20,0.1519
2015-07-21,0.1518
2015-07-22,0.1521
2015-07-23,0.1527
2015-07-24,0.1524
2015-07-27,0.1535
2015-07-28,0.1527
2015-07-29,0.1532
2015-07-30,0.1531
2015-07-31,0.1534
2015-08-03,0.1529
2015-08-04,0.1533
2015-08-05,0.1541
2015-08-06,0.1546
2015-08-07,0.1549
2015-08-10,0.1551
2015-08-11,0.1555
2015-08-12,0.1557
2015-08-13,0.1548
2015-08-14,0.1548
2015-08-17,0.1546
2015-08-18,0.154
2015-08-19,0.1543
2015-08-20,0.1552
2015-08-21,0.1555
2015-08-24,0.1568
2015-08-25,0.1564
2015-08-26,0.1564
2015-08-27,0.156
2015-08-28,0.1566
2015-08-31,0.1566
2015-09-01,0.1564
2015-09-02,0.157
2015-09-03,0.1566
2015-09-04,0.1565
2015-09-07,0.1566
2015-09-08,0.1566
2015-09-09,0.1559
2015-09-10,0.1559
